company,risk_category,sentence
jpmorgan,market_risk,"Summary
The principal risk factors that could adversely affect JPMorganChase’s business, results of operations, financial condition, capital position, liquidity, competitive position or reputation include:
•
Regulatory
risks, including the impact that applicable laws, rules and regulations in the highly-regulated and supervised financial services industry, as well as changes to or in the application, interpretation or enforcement of those laws, rules and regulations, can have on JPMorganChase’s business and operations, including JPMorganChase incurring additional costs associated with assessments, levies or other governmental charges; the ways in which differences in financial services regulation and supervision in different jurisdictions or with respect to certain competitors can negatively impact JPMorganChase’s business; the ways in which governmental policies that discourage or penalize business relationships with clients in certain industries, or require specific business practices, can negatively affect JPMorganChase's businesses; the penalties and collateral consequences, and higher compliance and operational costs, that JPMorganChase may incur when resolving a regulatory investigation; the ways in which less predictable legal and regulatory frameworks in certain jurisdictions can negatively impact JPMorganChase’s operations and financial results; and the losses that security holders and other unsecured creditors will absorb if JPMorganChase were to enter into a resolution.
•
Political
risks, including the potential negative effects on JPMorganChase’s businesses due to economic uncertainty or instability caused by political developments.
•
Market
risks, including the effects that economic and market events and conditions, political developments, changes in interest rates and credit spreads, and market fluctuations can have on JPMorganChase’s consumer and wholesale businesses and its investment and market-making
positions and on JPMorganChase’s earnings and its liquidity and capital levels.
•
Credit
risks, including potential negative effects from adverse changes in the financial condition of clients, customers, counterparties, custodians and central counterparties; the potential for losses due to declines in the value of collateral in stressed market conditions; and potential negative impacts from concentrations of credit risk with respect to clients, customers, counterparties and other market participants.
•
Liquidity
risks, including the risk that JPMorganChase’s liquidity could be impaired by market-wide illiquidity or disruption, unforeseen liquidity or capital requirements, the inability to sell assets, default by a significant market participant, unanticipated outflows of cash or collateral, or lack of market or customer confidence in JPMorganChase; the dependence of JPMorgan Chase & Co. on the cash flows of its subsidiaries; and the potential adverse effects that any downgrade in any of JPMorganChase’s credit ratings may have on its liquidity and cost of funding.
•
Capital
risks, including the risk that any failure by or inability of JPMorganChase to maintain the required level and composition of capital, or unfavorable changes in applicable capital requirements, could limit JPMorganChase’s ability to distribute capital to shareholders or to support its business activities."
jpmorgan,market_risk,"Certain governmental policy initiatives, as well as heightened geopolitical tensions,
could significantly affect U.S. and global economic growth and cause higher volatility in the financial markets, including:
•
monetary policies and actions taken by the Federal Reserve and other central banks or governmental authorities, including changes in interest rate levels and any sustained large-scale asset purchases or any suspension or reversal of those actions
•
fiscal policies, including with respect to taxation and spending
•
isolationist foreign policies
•
economic or financial sanctions
•
the implementation of tariffs and other protectionist trade policies
•
changes to immigration policies, or
•
actions that the government takes or fails to take in response to the effects of health emergencies, the spread of infectious diseases, epidemics or pandemics."
jpmorgan,market_risk,"These types of political developments, and uncertainty about the possible outcomes of these developments, could:
•
erode investor or consumer confidence in the U.S. economy and financial markets, which could potentially undermine the status of the U.S. dollar as a safe haven currency
•
provoke retaliatory countermeasures by other countries and otherwise heighten tensions in regulatory, enforcement or diplomatic relations
•
increase the risk of targeted cyber attacks
•
increase concerns about whether the U.S. government will be funded, and its outstanding debt serviced, at any particular time
•
result in periodic shutdowns of the U.S. government
•
influence investor perceptions concerning government support of certain sectors of the economy or the economy as a whole
•
influence monetary policy actions of the Federal Reserve to moderate the economic impact of political developments, including decisions on interest rate levels and asset purchases and sales
•
adversely affect the financial condition or credit ratings of clients and counterparties with which JPMorganChase does business, or
•
cause JPMorganChase to refrain from engaging in business opportunities that it might otherwise pursue."
jpmorgan,market_risk,"JPMorganChase’s results of operations can be negatively affected by adverse changes in any of the following:
•
investor, consumer and business sentiment
•
events that reduce confidence in the financial markets
•
inflation, deflation or recession
•
high unemployment or, conversely, a tightening labor market
•
the availability and cost of capital, liquidity and credit
•
levels and volatility of interest rates, credit spreads and market prices for currencies, debt and equity securities and commodities, as well as the duration of any such changes
•
the economic effects of an outbreak or escalation of war, hostilities, terrorism or other geopolitical instabilities, cyber attacks, climate change, natural disasters, severe weather conditions, health emergencies, the spread of infectious diseases, epidemics or pandemics or other extraordinary events beyond JPMorganChase’s control, and
•
the state of the U.S. and global economies."
jpmorgan,market_risk,"In addition, JPMorganChase’s investment portfolio and market-making businesses can suffer losses due to unanticipated market events, including:
•
severe declines in asset values
•
unexpected credit events
•
unforeseen events or conditions that may cause previously uncorrelated factors to become correlated (and vice versa)
•
the inability to effectively hedge risks related to market-making and investment portfolio positions, or
•
other market risks that may not have been appropriately taken into account in the development, structuring or pricing of a financial instrument."
jpmorgan,market_risk,"JPMorganChase’s consumer businesses are particularly affected by U.S. and global economic conditions, including:
•
personal and household income distribution
•
unemployment or underemployment
•
prolonged periods of exceptionally high or low interest rates, or significant changes to interest rates
•
changes in the value of collateral such as residential real estate and vehicles
•
changes in housing prices
•
the level of inflation and its effect on prices for goods and services
•
consumer and small business confidence levels, and
•
changes in consumer spending or in the level of consumer debt."
jpmorgan,market_risk,"In addition, sustained low growth, low or negative interest rates, inflationary pressures or recessionary conditions could diminish customer demand for the products and services offered by JPMorganChase’s consumer businesses."
jpmorgan,market_risk,"For example, higher interest rates or a downturn in financial markets could affect the valuation of client assets that JPMorganChase manages or holds under custody, which, in turn, could affect JPMorganChase’s revenue from fees that are based on the amount of assets under management or custody."
jpmorgan,market_risk,"An adverse change in market conditions in particular segments of the economy, such as a sudden and severe downturn in oil and gas prices or an increase in commodity prices, severe declines in commercial real estate values, or sustained changes in consumer behavior that affect specific economic sectors, could have a material adverse effect on clients of JPMorganChase whose operations or financial condition are directly or indirectly dependent on the health or stability of those market segments or economic sectors, as well as clients that are engaged in related businesses."
jpmorgan,market_risk,"Changes in interest rates and credit spreads can adversely affect JPMorganChase’s earnings, its liquidity or its capital levels."
jpmorgan,market_risk,"When interest rates are high or increasing, JPMorganChase can generally be expected to earn higher net interest income."
jpmorgan,market_risk,"However, higher interest rates can also lead to:
•
fewer originations of commercial and residential real estate loans
•
losses on underwriting exposures or incremental client-specific downgrades, or increases in the allowance for credit losses and net charge-offs due to higher financing costs for clients
•
the loss of deposits, particularly if customers withdraw deposits because they believe that interest rates offered by JPMorganChase are lower than those of competitors or if JPMorganChase makes incorrect assumptions about depositor behavior
•
losses on available-for-sale (“AFS”) securities held in the investment securities portfolio
•
lower net interest income if central banks introduce interest rate increases more quickly than anticipated and this results in a misalignment in the pricing of short-term and long-term borrowings
•
less liquidity in the financial markets, and
•
higher funding costs."
jpmorgan,market_risk,"All of these outcomes could adversely affect JPMorganChase’s earnings or its liquidity and capital levels, and any negative outcomes could be more severe in a prolonged period of high interest rates."
jpmorgan,market_risk,Higher interest rates can also negatively affect the payment performance on loans within JPMorganChase’s consumer and wholesale loan portfolios that are linked to variable interest rates.
jpmorgan,market_risk,"On the other hand, a low or negative interest rate environment may cause:
•
net interest margins to be compressed, which could reduce the amounts that JPMorganChase earns on its investment securities portfolio to the extent that it is unable to reinvest contemporaneously in higher-yielding instruments
•
unanticipated or adverse changes in depositor behavior, which could negatively affect JPMorganChase’s broader asset and liability management strategy, and
•
a reduction in the value of JPMorganChase’s mortgage servicing rights (“MSRs”) asset, resulting in decreased revenues."
jpmorgan,market_risk,JPMorganChase could incur significant losses arising from concentrations of credit and market risk.
jpmorgan,market_risk,"JPMorganChase is exposed to greater credit and market risk to the extent that groupings of its clients or counterparties, or obligors on securities and other financial instruments:
•
engage in similar or related businesses, or in businesses in related industries
•
do business in the same geographic region, or
Part I
•
have business profiles, models or strategies that could cause their ability to meet their obligations to be similarly affected by changes in economic conditions."
jpmorgan,market_risk,"This type of interrelationship could exacerbate JPMorganChase’s credit, liquidity and market risk exposure and potentially cause it to incur losses, including fair value losses in its market-making businesses and investment portfolios."
jpmorgan,market_risk,"JPMorganChase regularly monitors various segments of its credit and market risk exposures to assess the potential risks of concentration or contagion, but its ability to diversify or hedge its exposure against those risks may be limited."
jpmorgan,market_risk,"The amount of capital that JPMorganChase is required to hold in order to satisfy these leverage- and risk-based requirements could increase at any given time due to factors such as:
•
actions by banking regulators, including changes in laws, rules and regulations
Part I
•
changes in the composition of JPMorganChase’s balance sheet or developments that could increase RWA, such as increased market risk, customer delinquencies, client credit rating downgrades or other factors, and
•
increases in estimated stress losses as determined by the Federal Reserve under the Comprehensive Capital Analysis and Review, which could increase JPMorganChase’s SCB."
jpmorgan,market_risk,"These reviews are required before JPMorganChase may use those models and estimations for calculating market risk RWA, credit risk RWA and operational risk RWA under Basel III."
jpmorgan,credit_risk,"These consequences could result in JPMorganChase experiencing increases in the allowance for credit losses, higher delinquencies, defaults and charge-offs within its commercial real estate loan portfolio and incurring higher costs for servicing a larger volume of delinquent loans in that portfolio."
jpmorgan,credit_risk,"Many of these transactions expose JPMorganChase to the credit risk of its clients and counterparties, and can involve JPMorganChase in disputes and litigation if a client or counterparty defaults."
jpmorgan,credit_risk,"A default by, or the financial or operational failure of, a CCP through which JPMorganChase executes contracts would require JPMorganChase to replace those contracts, thereby increasing its operational costs and potentially resulting in losses."
jpmorgan,credit_risk,"In addition, JPMorganChase can be exposed to losses if a member of a CCP in which JPMorganChase is also a member defaults on its obligations to the CCP because of requirements that each member of the CCP absorb a portion of those losses."
jpmorgan,credit_risk,"Furthermore, JPMorganChase can be subject to bearing its share of non-default losses incurred by a CCP, including losses from custodial, settlement or investment activities or due to cyber or other security breaches."
jpmorgan,credit_risk,"JPMorganChase is also exposed to intra-day credit risk of its clients in connection with providing cash management, clearing, custodial and other transaction services to those clients."
jpmorgan,credit_risk,"In addition, local laws, rules and regulations could limit JPMorganChase’s ability to resolve disputes and litigation in the event of a counterparty default or unwillingness to make previously agreed-upon payments, which could subject JPMorganChase to losses."
jpmorgan,credit_risk,"These consequences can also impair JPMorganChase’s ability to effectively manage its credit risk exposure from its market activities, or cause harm to JPMorganChase’s reputation."
jpmorgan,credit_risk,"The financial or operational failure of a significant market participant, such as a major financial institution or a CCP, or concerns about the creditworthiness of such a market participant or its ability to fulfill its obligations, can cause substantial and cascading disruption within the financial markets, including in circumstances where coordinated action by multiple other market participants is required to address the failure or disruption."
jpmorgan,credit_risk,"JPMorganChase’s businesses could be significantly disrupted by such an event, particularly if it leads to other market participants incurring significant losses, experiencing liquidity issues or defaulting, and JPMorganChase is likely to have significant interrelationships with, and credit exposure to, such a significant market participant."
jpmorgan,credit_risk,"During periods of market stress or illiquidity, JPMorganChase’s credit risk may be further increased when:
•
JPMorganChase fails to realize the estimated value of the collateral it holds
•
collateral is liquidated at prices that are not sufficient to recover the full amount owed to it, or
•
counterparties are unable to post collateral, whether for operational or other reasons."
jpmorgan,credit_risk,"For example, a significant deterioration in the credit quality of a counterparty, borrower or other obligor could lead to concerns about the creditworthiness of other counterparties, borrowers or obligors in similar, related or dependent industries."
jpmorgan,credit_risk,"If large numbers of consumers subsequently default on their loans, whether due to weak credit profiles, an economic downturn or other factors, this could impair their ability to repay obligations owed to JPMorganChase and result in higher charge-offs and other credit-related losses."
jpmorgan,credit_risk,"More broadly, widespread defaults on consumer debt could lead to recessionary conditions in the U.S. economy, and JPMorganChase’s consumer businesses may earn lower revenues in such an environment."
jpmorgan,credit_risk,"If JPMorganChase is unable to reduce positions effectively during a market dislocation, this can increase both the market and credit risks associated with those positions and the level of risk-weighted-assets (“RWA”) that JPMorganChase holds on its
balance sheet."
jpmorgan,credit_risk,"JPMorganChase’s liquidity can be impacted at any given time as a result of factors such as:
•
market-wide illiquidity or disruption
•
changes in liquidity or capital requirements resulting from changes in laws, rules and regulations, including those in response to economic effects of systemic events
•
actions taken by the U.S. government or by the Federal Reserve to reduce its balance sheet, which may reduce deposits held by JPMorganChase and other financial institutions
•
inability to sell assets, or to sell assets at favorable times or prices
•
default by a CCP or other significant market participant
•
unanticipated outflows of cash or collateral
•
unexpected loss of deposits or higher than anticipated draws on lending-related commitments, and
•
lack of market or customer confidence in JPMorganChase or financial institutions in general."
jpmorgan,credit_risk,Any rating reduction could also increase the credit spreads charged by the market for taking credit risk on JPMorgan Chase & Co. and its subsidiaries.
jpmorgan,credit_risk,"The occurrence of one or more extraordinary events could also negatively impact the financial condition or creditworthiness of JPMorganChase’s clients and customers, and could lead to an increase in delinquencies, additions to the allowance for credit losses and higher net charge-offs, which can reduce JPMorganChase’s earnings."
jpmorgan,credit_risk,"Both physical risks and transition risks associated with climate change could have negative impacts on the financial condition or creditworthiness of JPMorganChase’s clients and customers, on JPMorganChase's exposure to affected companies and markets, and on the effectiveness of JPMorganChase’s existing business strategy with respect to its operations, clients and customers."
jpmorgan,credit_risk,"Depending on the scope of the conflict, the hostilities could result in:
•
worldwide economic disruption
•
heightened volatility in financial markets
•
severe declines in asset values, accompanied by widespread sell-offs of investments
•
sudden increases in prices in the energy and commodity markets or for certain safe haven currencies
•
substantial depreciation of local currencies, potentially leading to defaults by borrowers and counterparties in the affected region
•
disruption of global trade
•
diminished consumer, business and investor confidence
•
refugee and humanitarian crises, and
•
new economic sanctions or other regulatory requirements, including those that introduce exceptional compliance challenges for multinational companies such as JPMorganChase."
jpmorgan,credit_risk,"Some of these countries have in the past experienced economic disruptions, including:
•
extreme currency fluctuations
•
high inflation
•
low or negative growth
•
defaults or reduced ability to service sovereign debt and
•
increased fraud or other misrepresentation of value."
jpmorgan,operational_risk,"•
Operational
risks, including risks associated with JPMorganChase’s dependence on its operational systems and its employees, as well as the systems and employees of third parties, market participants and service providers; the potential negative effects of failing to identify and address operational risks related to the failure of internal or external operational systems, the introduction of or changes to products, services and delivery platforms or the adoption of new technologies; risks related to safeguarding personal information; the harm that could be caused by a successful cyber attack affecting JPMorganChase or by other extraordinary events; risks associated with JPMorganChase’s risk management framework and control environment, its models and estimations and associated judgments used in its stress testing and financial statements, and controls over disclosure and financial reporting; and potential adverse effects of failing to comply with applicable standards for the oversight of vendors and other service providers."
jpmorgan,operational_risk,"An increase in foreclosures could result in higher operational risk associated with JPMorganChase owning and managing real property,
Part I
and any inadequacy in governance or control over the foreclosed properties could result in regulatory scrutiny and reputational harm."
